iter	Passed	Remaining
710	1058	430
711	1059	428
712	1061	427
713	1062	425
714	1064	424
715	1066	422
716	1067	421
717	1069	419
718	1070	418
719	1072	416
720	1073	415
721	1074	413
722	1076	412
723	1078	410
724	1079	409
725	1081	407
726	1082	406
727	1084	405
728	1086	403
729	1087	402
730	1089	400
731	1090	399
732	1092	397
733	1093	396
734	1094	394
735	1096	393
736	1098	391
737	1099	390
738	1101	389
739	1102	387
740	1104	386
741	1105	384
742	1107	383
743	1108	381
744	1110	380
745	1112	378
746	1114	377
747	1115	375
748	1117	374
749	1119	373
750	1120	371
751	1122	370
752	1123	368
753	1125	367
754	1127	365
755	1128	364
756	1130	362
757	1131	361
758	1133	359
759	1134	358
760	1136	356
761	1137	355
762	1139	353
763	1140	352
764	1142	351
765	1144	349
766	1146	348
767	1147	346
768	1149	345
769	1151	343
770	1152	342
771	1154	340
772	1155	339
773	1157	338
774	1159	336
775	1160	335
776	1162	333
777	1163	332
778	1165	330
779	1167	329
780	1168	327
781	1170	326
782	1172	324
783	1173	323
784	1175	321
785	1176	320
786	1178	318
787	1179	317
788	1181	315
789	1183	314
790	1184	313
791	1186	311
792	1187	310
793	1189	308
794	1190	307
795	1192	305
796	1193	304
797	1195	302
798	1197	301
799	1198	299
800	1199	298
801	1201	296
802	1203	295
803	1204	293
804	1206	292
805	1207	290
806	1209	289
807	1211	287
808	1212	286
809	1214	284
810	1215	283
811	1217	281
812	1218	280
813	1220	278
814	1221	277
815	1223	275
816	1225	274
817	1226	272
818	1228	271
819	1230	270
820	1231	268
821	1233	267
822	1234	265
823	1235	263
824	1237	262
825	1238	260
826	1240	259
827	1241	257
828	1243	256
829	1244	254
830	1246	253
831	1247	251
832	1249	250
833	1250	248
834	1252	247
835	1253	245
836	1254	244
837	1256	242
838	1257	241
839	1259	239
840	1260	238
841	1262	236
842	1264	235
843	1265	233
844	1266	232
845	1268	230
846	1269	229
847	1271	227
848	1272	226
849	1274	224
850	1276	223
851	1277	221
852	1279	220
853	1280	218
854	1282	217
855	1283	215
856	1285	214
857	1286	212
858	1288	211
859	1290	210
860	1291	208
861	1293	207
862	1294	205
863	1296	204
864	1297	202
865	1299	201
866	1300	199
867	1301	197
868	1303	196
869	1304	194
870	1306	193
871	1307	191
872	1309	190
873	1310	188
874	1312	187
875	1313	185
876	1315	184
877	1316	182
878	1318	181
879	1319	179
880	1321	178
881	1322	176
882	1323	175
883	1325	173
884	1326	172
885	1327	170
886	1329	169
887	1330	167
888	1332	166
889	1334	164
890	1335	163
891	1337	161
892	1338	160
893	1340	158
894	1341	157
895	1343	155
896	1344	154
897	1346	152
898	1348	151
899	1349	149
900	1351	148
901	1352	146
902	1354	145
903	1355	143
904	1357	142
905	1358	140
906	1360	139
907	1361	137
908	1363	136
909	1364	134
910	1366	133
911	1367	131
912	1369	130
913	1370	128
914	1372	127
915	1373	125
916	1375	124
917	1376	122
918	1378	121
919	1379	119
920	1381	118
921	1382	116
922	1384	115
923	1385	113
924	1387	112
925	1388	110
926	1390	109
927	1391	107
928	1393	106
929	1395	105
930	1396	103
931	1397	101
932	1399	100
933	1400	98
934	1402	97
935	1403	95
936	1405	94
937	1407	93
938	1408	91
939	1410	90
940	1411	88
941	1413	87
942	1414	85
943	1416	84
944	1417	82
945	1419	81
946	1420	79
947	1422	78
948	1423	76
949	1425	75
950	1426	73
951	1428	72
952	1429	70
953	1431	69
954	1433	67
955	1434	66
956	1436	64
957	1437	63
958	1439	61
959	1440	60
960	1442	58
961	1443	57
962	1445	55
963	1446	54
964	1448	52
965	1449	51
966	1451	49
967	1452	48
968	1454	46
969	1455	45
970	1457	43
971	1458	42
972	1460	40
973	1461	39
974	1463	37
975	1464	36
976	1467	34
977	1468	33
978	1469	31
979	1471	30
980	1474	28
981	1475	27
982	1477	25
983	1478	24
984	1480	22
985	1481	21
986	1483	19
987	1484	18
988	1486	16
989	1487	15
990	1489	13
991	1490	12
992	1492	10
993	1493	9
994	1495	7
995	1497	6
996	1498	4
997	1500	3
998	1501	1
999	1503	0
